camera_name,timestamp,minute_window,fps_count
Unknown-0,1900-10-16 22:03:31.397000,1900-10-16 22:03:00,27
Unknown-0,1900-10-16 22:03:31.462000,1900-10-16 22:03:00,27
Unknown-0,1900-10-16 22:03:31.529000,1900-10-16 22:03:00,27
Unknown-0,1900-10-16 22:03:31.595000,1900-10-16 22:03:00,27
Unknown-0,1900-10-16 22:03:31.662000,1900-10-16 22:03:00,27
Unknown-0,1900-10-16 22:03:31.728000,1900-10-16 22:03:00,27
Unknown-0,1900-10-16 22:03:31.795000,1900-10-16 22:03:00,27
Unknown-0,1900-10-16 22:03:31.862000,1900-10-16 22:03:00,27
Unknown-0,1900-10-16 22:03:31.929000,1900-10-16 22:03:00,27
Unknown-0,1900-10-16 22:03:31.996000,1900-10-16 22:03:00,27
Unknown-0,1900-10-16 22:03:32.063000,1900-10-16 22:03:00,27
Unknown-0,1900-10-16 22:03:32.129000,1900-10-16 22:03:00,27
Unknown-0,1900-10-16 22:03:32.196000,1900-10-16 22:03:00,27
Unknown-0,1900-10-16 22:03:32.263000,1900-10-16 22:03:00,27
Unknown-0,1900-10-16 22:03:32.330000,1900-10-16 22:03:00,27
Unknown-0,1900-10-16 22:03:32.396000,1900-10-16 22:03:00,27
Unknown-0,1900-10-16 22:03:32.463000,1900-10-16 22:03:00,27
Unknown-0,1900-10-16 22:03:32.530000,1900-10-16 22:03:00,27
Unknown-0,1900-10-16 22:03:32.597000,1900-10-16 22:03:00,27
Unknown-0,1900-10-16 22:03:32.664000,1900-10-16 22:03:00,27
Unknown-0,1900-10-16 22:03:32.730000,1900-10-16 22:03:00,27
Unknown-0,1900-10-16 22:03:32.797000,1900-10-16 22:03:00,27
Unknown-0,1900-10-16 22:03:32.864000,1900-10-16 22:03:00,27
Unknown-0,1900-10-16 22:03:32.931000,1900-10-16 22:03:00,27
Unknown-0,1900-10-16 22:03:32.998000,1900-10-16 22:03:00,27
Unknown-0,1900-10-16 22:03:33.064000,1900-10-16 22:03:00,27
Unknown-0,1900-10-16 22:03:33.131000,1900-10-16 22:03:00,27
fish-eye-leftdown,1900-10-16 22:03:31.514000,1900-10-16 22:03:00,13
fish-eye-leftdown,1900-10-16 22:03:31.580000,1900-10-16 22:03:00,13
fish-eye-leftdown,1900-10-16 22:03:31.647000,1900-10-16 22:03:00,13
fish-eye-leftdown,1900-10-16 22:03:31.714000,1900-10-16 22:03:00,13
fish-eye-leftdown,1900-10-16 22:03:31.781000,1900-10-16 22:03:00,13
